Maxes,Means,Variances,Fractions_over_lr_max,quantile_0.001,quantile_0.01,quantile_0.05,quantile_0.5,quantile_0.95,quantile_0.99,quantile_0.999,quantile_0.9999
0.0007999999797903001,2.754131674009841e-05,9.77499192700293e-10,2.1669286070391536e-05,0.0,0.0,0.0,2e-05,9e-05,0.00013,0.00019,0.00029
0.0014400000218302011,9.42546012083767e-06,1.8616716501718145e-10,1.1556952813407406e-05,0.0,0.0,0.0,0.0,4e-05,5e-05,8e-05,0.00016
0.002560000168159604,1.3371495697356295e-05,4.042867707276798e-10,4.044933302793652e-05,0.0,0.0,0.0,1e-05,5e-05,7e-05,0.00011,0.0002775
0.0006099999882280827,1.9170889572706074e-05,5.08051101189011e-10,2.8892382033518516e-06,0.0,0.0,0.0,1e-05,6e-05,9e-05,0.00013,0.00017000001
0.0004799999878741801,3.065312557737343e-05,1.3189642711353144e-09,0.0,0.0,0.0,0.0,2e-05,0.00011,0.00015,0.0002,0.00025
0.000590000010561198,3.5559728530643042e-06,5.578717349186135e-11,2.8892382033518516e-06,0.0,0.0,0.0,0.0,2e-05,3e-05,5e-05,0.0001575
0.0005099999834783375,7.98394739831565e-06,1.438797553321436e-10,0.0,0.0,0.0,0.0,0.0,3e-05,5e-05,7e-05,0.00016
0.0005600000149570405,1.9124832761008292e-05,5.197812180668393e-10,1.4446191016759258e-06,0.0,0.0,0.0,1e-05,6e-05,9e-05,0.00013999999,0.0002
0.0008099999977275729,1.600385076017119e-05,3.7956934817451327e-10,4.333857305027777e-06,0.0,0.0,0.0,1e-05,5e-05,8e-05,0.00012,0.00017
0.0004199999966658652,1.9441118638496846e-05,5.116774226543441e-10,0.0,0.0,0.0,0.0,1e-05,6e-05,9e-05,0.00013,0.00017
0.0019199999514967203,2.2086609533289447e-05,6.808648089773328e-10,2.022466651396826e-05,0.0,0.0,0.0,1e-05,7e-05,0.00011,0.00015,0.00022
0.0031300000846385956,3.0922647056286223e-06,2.0440824033407523e-10,4.911705036647618e-05,0.0,0.0,0.0,0.0,2e-05,4e-05,0.00011,0.00034
0.0036700000055134296,3.974060291511705e-06,3.027622597073787e-10,6.356323865475133e-05,0.0,0.0,0.0,0.0,2e-05,5e-05,0.00014,0.00043
0.005410000216215849,5.210682502365671e-06,5.040298733938187e-10,7.945404649944976e-05,0.0,0.0,0.0,0.0,3e-05,6e-05,0.00016,0.00051
0.012740000151097775,9.527306247036904e-06,1.7052699252673165e-09,0.00023980677360668778,0.0,0.0,0.0,0.0,5e-05,1e-04,0.0003,0.00075500004
0.0005799999926239252,1.0840421964530833e-06,3.252092692362929e-11,1.4446191016759258e-06,0.0,0.0,0.0,0.0,1e-05,2e-05,6e-05,0.00019
0.0022100000642240047,2.0714969650725834e-06,1.2612091926378355e-10,5.489552495419048e-05,0.0,0.0,0.0,0.0,1e-05,3e-05,8e-05,0.00032
0.0009800000116229057,2.3019281343295006e-06,8.111272070676634e-11,2.1669286070391536e-05,0.0,0.0,0.0,0.0,1e-05,3e-05,8e-05,0.0002575
0.005090000107884407,4.515748969424749e-06,4.499276506919614e-10,0.00010401257168268785,0.0,0.0,0.0,0.0,2e-05,5e-05,0.00015,0.00056
0.005830000154674053,6.105249212851049e-06,8.167521103885633e-10,0.00019357896235305816,0.0,0.0,0.0,0.0,3e-05,8e-05,0.00023,0.0008075
0.007230000104755163,7.449120403180132e-06,1.189401577228466e-09,0.0002556975814513862,0.0,0.0,0.0,0.0,4e-05,9e-05,0.00025,0.00094
0.0019199999514967203,5.08864150106092e-06,2.6892396642885785e-10,7.223095599329099e-05,0.0,0.0,0.0,0.0,2e-05,5e-05,0.00016,0.00043
0.0017399999778717756,4.817760782316327e-06,2.85992535209445e-10,6.645247776759788e-05,0.0,0.0,0.0,0.0,3e-05,6e-05,0.00018,0.00042
0.005119999870657921,4.807518507732311e-06,4.781779416873633e-10,9.967872028937563e-05,0.0,0.0,0.0,0.0,3e-05,6e-05,0.00018,0.0005475
0.0025100000202655792,6.141595804365352e-06,3.9363681758608493e-10,9.101100295083597e-05,0.0,0.0,0.0,0.0,3e-05,7e-05,0.00019,0.0004775
