Maxes,Means,Variances,Fractions_over_lr_max,quantile_0.001,quantile_0.01,quantile_0.05,quantile_0.5,quantile_0.95,quantile_0.99,quantile_0.999,quantile_0.9999
0.0003600000054575503,2.6505264031584375e-05,9.934999489757956e-10,0.0,0.0,0.0,0.0,2e-05,9e-05,0.00014,0.00021,0.00027
0.0006799999973736703,6.101377493905602e-06,2.727555958870198e-10,1.1556952813407406e-05,0.0,0.0,0.0,0.0,4e-05,7e-05,0.00013,0.00039
0.0010900000343099236,2.5337190891150385e-05,8.905561843519649e-10,4.044933302793652e-05,0.0,0.0,0.0,2e-05,8e-05,0.00012,0.00023,0.0004675
0.0006500000017695129,1.0372697033744771e-05,4.2013389989215e-10,2.8892382033518516e-06,0.0,0.0,0.0,0.0,5e-05,1e-04,0.00016,0.00024750002
0.0016599999507889152,3.527963417582214e-05,2.0529065114516243e-09,0.00026003143284469843,0.0,0.0,0.0,2e-05,0.00012,0.00019,0.00033,0.00094
0.00022000000171829015,1.620809234736953e-05,4.764468819473677e-10,0.0,0.0,0.0,0.0,1e-05,6e-05,9e-05,0.00013,0.00016
0.0013500000350177288,1.1749549230444245e-05,5.448214657199912e-10,1.3001571460335981e-05,0.0,0.0,0.0,0.0,5e-05,0.00011,0.00021,0.00036
0.0008299999753944576,5.414360202848911e-06,3.001922044276739e-10,2.744776247709524e-05,0.0,0.0,0.0,0.0,3e-05,9e-05,0.00016,0.00034
0.006570000201463699,4.41582924395334e-05,1.027607510195594e-08,0.0015645225066691637,0.0,0.0,0.0,2e-05,0.00017,0.00026,0.00095,0.0043275
0.0026599999982863665,2.1309895601007156e-05,1.252386416794593e-09,0.00041316106216982007,0.0,0.0,0.0,1e-05,7e-05,0.00011,0.00029,0.0012
0.0004600000102072954,6.0170409597049e-06,3.7494676807803273e-10,0.0,0.0,0.0,0.0,0.0,3e-05,1e-04,0.00022,0.00029
0.0004299999854993075,1.4933040802134201e-05,8.785031591074244e-10,0.0,0.0,0.0,0.0,0.0,7e-05,0.00015,0.00023,0.0003
0.0005099999834783375,2.0520958514680387e-06,3.9319231898149454e-11,0.0,0.0,0.0,0.0,0.0,1e-05,3e-05,6e-05,0.00011
0.0016700000269338489,5.523761046788422e-06,4.599510772251847e-10,2.8892382033518516e-05,0.0,0.0,0.0,0.0,2e-05,0.00012,0.00022,0.0003375
0.00011999999696854502,6.199712970555993e-06,1.0153010376878768e-10,0.0,0.0,0.0,0.0,0.0,3e-05,4e-05,7e-05,9e-05
0.0005799999926239252,5.74738760406035e-06,4.2586467685623575e-10,1.4446191016759258e-06,0.0,0.0,0.0,0.0,3e-05,0.00011,0.00023,0.00033
0.0002500000118743628,2.4979164663818665e-05,9.208539486493805e-10,0.0,0.0,0.0,0.0,1e-05,9e-05,0.00013,0.00016,0.0002
0.0002300000051036477,1.4174299394653644e-05,4.617215221269788e-10,0.0,0.0,0.0,0.0,1e-05,6e-05,1e-04,0.00014,0.00018
0.002240000059828162,3.6945264128007693e-06,1.9800912298695295e-10,1.8780048776534386e-05,0.0,0.0,0.0,0.0,2e-05,7e-05,0.00014,0.00024
0.0007600000244565308,1.828945528359327e-06,4.487323013169231e-11,1.4446191016759258e-05,0.0,0.0,0.0,0.0,1e-05,2e-05,6e-05,0.00015
0.0003000000142492354,9.769337339093909e-06,1.9898885317282122e-10,0.0,0.0,0.0,0.0,0.0,4e-05,6e-05,9e-05,0.00012
0.0006600000197067857,1.7996500901062973e-05,5.43337486114126e-10,2.8892382033518516e-06,0.0,0.0,0.0,1e-05,6e-05,1e-04,0.00017,0.00025
0.0181099995970726,2.9352837373153307e-05,2.539447585547805e-08,0.012578298337757587,0.0,0.0,0.0,0.0,0.00013,0.00064,0.00114,0.006815
0.0006799999973736703,6.958672202017624e-06,2.0736749817285016e-10,1.3001571460335981e-05,0.0,0.0,0.0,0.0,3e-05,6e-05,0.00013,0.00033
0.01964000053703785,4.181159602012485e-05,2.342099207908177e-07,0.012497399933636189,0.0,0.0,0.0,0.0,2e-05,0.00094,0.00831,0.016285
0.0004199999966658652,2.6059049105242593e-06,7.800721180117876e-11,0.0,0.0,0.0,0.0,0.0,1e-05,3e-05,1e-04,0.00028
0.015610000118613243,4.603293291438604e-06,2.9469195972353646e-09,0.00018057737906929106,0.0,0.0,0.0,0.0,2e-05,7e-05,0.00028,0.0009849999
0.0010100000072270632,2.098808909067884e-05,1.030421303838125e-09,2.3113905626814812e-05,0.0,0.0,0.0,1e-05,8e-05,0.00014,0.00027,0.00045
0.0012000000569969416,5.059662271378329e-06,4.2477110717697997e-10,0.00018924509640783072,0.0,0.0,0.0,0.0,3e-05,8e-05,0.00023,0.0007075
0.005590000189840794,2.219050657004118e-06,8.147030272631639e-10,0.00021091438247822225,0.0,0.0,0.0,0.0,1e-05,2e-05,6e-05,0.0011775
0.0003600000054575503,2.6505264031584375e-05,9.934999489757956e-10,0.0,0.0,0.0,0.0,2e-05,9e-05,0.00014,0.00021,0.00027
