Maxes,Means,Variances,Fractions_over_lr_max,quantile_0.001,quantile_0.01,quantile_0.05,quantile_0.5,quantile_0.95,quantile_0.99,quantile_0.999,quantile_0.9999
0.0044999998062849045,8.108935617201496e-06,2.1433979036089568e-09,5.778476406703703e-05,0.0,0.0,0.0,0.0,5e-05,1e-04,0.0005,0.001684375
0.005799999926239252,1.355774929834297e-05,6.992907586322872e-09,0.00026003143284469843,0.0,0.0,0.0,0.0,5e-05,0.00025,0.00105,0.003203125
0.004749999847263098,1.7747433957993053e-05,7.2808488127407145e-09,0.00027736686752177775,0.0,0.0,0.0,0.0,1e-04,0.0003,0.0009,0.00326875
0.0027000000700354576,6.981555088714231e-06,1.3584402491773062e-09,3.467085844022222e-05,0.0,0.0,0.0,0.0,5e-05,1e-04,0.00035,0.001534375
0.005799999926239252,1.270513439521892e-05,5.311058259849233e-09,0.0002542529546190053,0.0,0.0,0.0,0.0,5e-05,0.0002,0.00075,0.00265
0.0062500000931322575,1.3906192180002108e-05,7.524957545967936e-09,0.0003640440118033439,0.0,0.0,0.0,0.0,5e-05,0.00024999998,0.00089765625,0.0036
0.005799999926239252,1.3998645954416133e-05,9.093641395452323e-09,0.0004044933302793652,0.0,0.0,0.0,0.0,5e-05,0.00025,0.001,0.004
0.006200000178068876,1.5008435184427071e-05,1.2060088039334005e-08,0.00044494267785921693,0.0,0.0,0.0,0.0,5e-05,0.00025,0.00115,0.00476875
0.0024999999441206455,1.7883228792925365e-05,3.769033085632145e-09,1.1556952813407406e-05,0.0,0.0,0.0,0.0,1e-04,0.00020000001,0.0008,0.0017
0.0034000000450760126,3.2191601349040866e-05,1.092424195547892e-08,0.0002138036215910688,0.0,0.0,0.0,0.0,0.00014999999,0.0004,0.00145,0.002434375
0.0038999998942017555,3.812869545072317e-05,1.4079666321720197e-08,0.000369822490029037,0.0,0.0,0.0,0.0,0.00015,0.0005,0.0016,0.00295
0.0038499999791383743,4.368990266812034e-05,1.7372276062133096e-08,0.0005605121841654181,0.0,0.0,0.0,0.0,0.00015,0.00055,0.00185,0.003134375
0.007300000172108412,5.204644912737422e-05,3.713968155238945e-08,0.0015717456117272377,0.0,0.0,0.0,0.0,0.0002,0.00065,0.00285,0.005384375
0.00430000014603138,3.1101491913432255e-05,1.0363395475110337e-08,0.00024269601271953434,0.0,0.0,0.0,0.0,0.00015,0.00035,0.0014,0.0029
0.006000000052154064,4.6517881855834275e-05,2.6784269024915375e-08,0.0013290495844557881,0.0,0.0,0.0,0.0,0.0002,0.00055,0.0024976563,0.004484375
0.007550000213086605,4.327038914198056e-05,2.8675524177401712e-08,0.0012019231216982007,0.0,0.0,0.0,0.0,0.0002,0.00055,0.0025976563,0.00505
0.007849999703466892,4.7757952415850013e-05,2.6359250782093113e-08,0.0010979104554280639,0.0,0.0,0.0,0.0,0.0002,0.00055,0.0023,0.0046
0.008899999782443047,6.146998202893883e-05,4.456187241430598e-08,0.0020224666222929955,0.0,0.0,0.0,0.0,0.00025,0.0007,0.00305,0.00566875
0.0011500000255182385,1.2503176549216732e-05,1.604338217831014e-09,0.0,0.0,0.0,0.0,0.0,5e-05,0.00015,0.0005,0.00085
0.0010999999940395355,1.3454603504214901e-05,1.8108538002437058e-09,0.0,0.0,0.0,0.0,0.0,5e-05,0.00015,0.0005,0.00085
0.004449999891221523,2.3502507247030735e-05,9.030868497461597e-09,0.00017335428856313229,0.0,0.0,0.0,0.0,1e-04,0.0003,0.00145,0.002484375
0.0035000001080334187,2.9961396649014205e-05,1.1011587197629069e-08,0.00017335428856313229,0.0,0.0,0.0,0.0,0.00014999999,0.0004,0.00145,0.002434375
0.0038999998942017555,2.855145066860132e-05,1.0919922743823918e-08,0.0002138036215910688,0.0,0.0,0.0,0.0,0.00014999999,0.00035,0.0015,0.0026
0.002050000010058284,9.799716281122528e-06,1.91974036667375e-09,0.0,0.0,0.0,0.0,0.0,5e-05,0.00015,0.0006,0.0013
0.003000000026077032,1.1275540600763634e-05,4.221392124748036e-09,9.245562250725925e-05,0.0,0.0,0.0,0.0,5e-05,0.00015,0.00095,0.002184375
0.0027000000700354576,1.0565654520178214e-05,3.6149705451293812e-09,2.8892382033518516e-05,0.0,0.0,0.0,0.0,5e-05,0.00015,0.0009,0.0018343751
0.0027000000700354576,1.4062499758438207e-05,4.89149387661314e-09,2.8892382033518516e-05,0.0,0.0,0.0,0.0,5e-05,0.00025,0.001,0.0019500001
0.003949999809265137,1.691157740424387e-05,9.245519017042625e-09,0.00027736686752177775,0.0,0.0,0.0,0.0,5e-05,0.0003,0.0015,0.00275
0.0025500000920146704,8.08148797659669e-06,1.56204749135469e-09,5.778476406703703e-06,0.0,0.0,0.0,0.0,5e-05,1e-04,0.00055,0.0012843751
0.0024500000290572643,1.3469916666508652e-05,3.6141309944781597e-09,1.733542922011111e-05,0.0,0.0,0.0,0.0,5e-05,0.00020000001,0.0008,0.001634375
0.0044999998062849045,1.3486385796568356e-05,6.4488405726592646e-09,0.00024269601271953434,0.0,0.0,0.0,0.0,5e-05,0.00020000001,0.0011,0.00281875
0.0038999998942017555,1.2485263141570613e-05,6.551161391143978e-09,0.0002195820998167619,0.0,0.0,0.0,0.0,5e-05,0.0002,0.0013,0.00266875
0.005200000014156103,1.618897840671707e-05,9.329403916069623e-09,0.0003871579247061163,0.0,0.0,0.0,0.0,5e-05,0.00025,0.0014,0.003184375
0.002149999840185046,1.008546314551495e-05,2.0450425797235994e-09,0.0,0.0,0.0,0.0,0.0,5e-05,0.00015,0.0006,0.00145
0.0026000000070780516,1.060841532307677e-05,2.6542257280937065e-09,1.1556952813407406e-05,0.0,0.0,0.0,0.0,5e-05,0.00015,0.0007,0.0017
0.00494999997317791,1.0651753655110952e-05,4.881411275192704e-09,0.0002022466651396826,0.0,0.0,0.0,0.0,5e-05,0.00015,0.00079765625,0.00296875
0.006049999967217445,1.3404619494394865e-05,7.234041810022518e-09,0.00031781618599779904,0.0,0.0,0.0,0.0,5e-05,0.0002,0.0011,0.0032
0.005549999885261059,1.3270559065858833e-05,7.94970400619377e-09,0.0003871579247061163,0.0,0.0,0.0,0.0,5e-05,0.00025,0.00115,0.00335
0.0024500000290572643,3.243256651330739e-05,7.634826104663262e-09,1.1556952813407406e-05,0.0,0.0,0.0,0.0,0.00015,0.00045,0.00095,0.00145
